date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
14-01-2020,US,0,0,0,0,0,0,0,0,0
15-01-2020,US,0,0,0,0,0,0,0,0,0
16-01-2020,US,0,0,0,0,0,0,0,0,0
17-01-2020,US,0,0,0,0,0,0,0,0,0
18-01-2020,US,0,0,0,0,0,0,0,0,0
19-01-2020,US,0,0,0,0,0,0,0,0,0
20-01-2020,US,0,0,0,0,0,0,0,0,0
21-01-2020,US,0,0,0,0,0,0,0,0,0
22-01-2020,US,0,0,0,0,0,0,0,0,0
23-01-2020,US,0,0,0,0,0,0,0,0,0
24-01-2020,US,0,0,0,0,0,0,0,0,0
25-01-2020,US,0,0,0,0,0,0,0,0,0
26-01-2020,US,0,0,0,0,0,0,0,0,0
27-01-2020,US,0,0,0,0,0,0,0,0,0
28-01-2020,US,0,0,0,0,0,0,0,0,0
29-01-2020,US,0,0,0,0,0,0,0,0,0
30-01-2020,US,0,0,0,0,0,0,0,0,0
31-01-2020,US,0,0,0,0,0,0,0,0,0
01-02-2020,US,0,0,0,0,0,0,0,0,0
02-02-2020,US,0,0,0,0,0,0,0,0,0
03-02-2020,US,0,0,0,0,0,0,0,0,0
04-02-2020,US,0,0,0,0,0,0,0,0,0
05-02-2020,US,0,0,0,0,0,0,0,0,0
06-02-2020,US,0,0,0,0,0,0,0,0,0
07-02-2020,US,0,0,0,0,0,0,0,0,0
08-02-2020,US,0,0,0,0,0,0,0,0,0
09-02-2020,US,0,0,0,0,0,0,0,0,0
10-02-2020,US,0,0,0,0,0,0,0,0,0
11-02-2020,US,0,0,0,0,0,0,0,0,0
12-02-2020,US,0,0,0,0,0,0,0,0,0
13-02-2020,US,0,0,0,0,0,0,0,0,0
14-02-2020,US,0,0,0,0,0,0,0,0,0
15-02-2020,US,0,0,0,0,0,0,0,0,0
16-02-2020,US,0,0,0,0,0,0,0,0,0
17-02-2020,US,0,0,0,0,0,0,0,0,0
18-02-2020,US,0,0,0,0,0,0,0,0,0
19-02-2020,US,0,0,0,0,0,0,0,0,0
20-02-2020,US,0,0,0,0,0,0,0,0,0
21-02-2020,US,0,0,0,0,0,0,0,0,0
22-02-2020,US,0,0,0,0,0,0,0,0,0
23-02-2020,US,0,0,0,0,0,0,0,0,0
24-02-2020,US,0,0,0,0,0,0,0,0,0
25-02-2020,US,0,0,0,0,0,0,0,0,0
26-02-2020,US,0,0,0,0,0,0,0,0,0
27-02-2020,US,0,0,0,0,0,0,0,0,0
28-02-2020,US,0,0,0,0,0,0,0,0,0
29-02-2020,US,0,0,0,0,0,0,0,0,0
01-03-2020,US,0,0,0,0,0,0,0,0,0
02-03-2020,US,0,0,0,0,0,0,0,0,0
03-03-2020,US,0,0,0,0,0,0,0,0,0
04-03-2020,US,0,4,0,0,0,0,0,0,0
05-03-2020,US,1,5,0,0,0,0,0,0,0
06-03-2020,US,1,6,0,0,0,0,0,0,0
07-03-2020,US,0,6,0,0,0,0,0,0,0
08-03-2020,US,0,6,0,0,0,0,0,0,0
09-03-2020,US,3,9,0,0,0,0,0,0,0
10-03-2020,US,0,9,0,0,0,0,0,0,0
11-03-2020,US,3,12,0,0,0,0,0,0,0
12-03-2020,US,5,17,0,0,0,0,0,0,0
13-03-2020,US,6,23,0,0,0,0,0,0,0
14-03-2020,US,4,27,0,0,0,0,0,0,0
15-03-2020,US,10,37,0,0,0,0,0,0,0
16-03-2020,US,6,43,0,0,0,0,0,0,0
17-03-2020,US,33,76,325,0,0,0,0,0,0
18-03-2020,US,18,94,416,0,0,0,0,0,0
19-03-2020,US,34,128,617,0,0,0,0,0,0
20-03-2020,US,44,172,1042,0,0,0,0,0,0
21-03-2020,US,316,488,1492,0,0,0,0,0,0
22-03-2020,US,139,627,2173,0,0,0,0,0,0
23-03-2020,US,190,817,2812,0,0,0,0,0,0
24-03-2020,US,261,1078,3938,0,0,0,0,0,0
25-03-2020,US,873,1951,5140,74,74,0,0,0,167
26-03-2020,US,655,2606,7805,17,91,1299,0,0,258
27-03-2020,US,777,3383,10887,33,124,1792,0,0,293
28-03-2020,US,682,4065,12393,16,140,2174,0,0,390
29-03-2020,US,559,4624,14055,16,156,2456,0,0,433
30-03-2020,US,584,5208,15892,31,187,3087,0,0,449
31-03-2020,US,1492,6700,18155,43,230,3487,0,0,506
01-04-2020,US,1302,8002,20906,26,256,3937,32,32,561
02-04-2020,US,1320,9322,22995,49,305,4513,0,32,576
03-04-2020,US,1189,10511,25723,30,335,4928,7,39,623
04-04-2020,US,1732,12243,30456,68,403,5500,0,39,656
05-04-2020,US,1131,13374,32180,206,609,5811,0,39,650
06-04-2020,US,883,14257,36159,54,663,7079,0,39,2961
07-04-2020,US,370,14627,43849,75,738,9978,4,43,4047
08-04-2020,US,1332,15959,45359,124,862,10276,-4,39,4142
09-04-2020,US,965,16924,51323,56,918,12445,0,39,5798
10-04-2020,US,1999,18923,53167,261,1179,12693,0,39,5937
11-04-2020,US,1208,20131,55563,220,1399,13856,113,152,5986
12-04-2020,US,694,20825,55294,50,1449,14188,6,158,5962
13-04-2020,US,2304,23129,56283,100,1549,14199,0,158,6170
14-04-2020,US,1466,24595,59601,93,1642,14735,13,171,5981
15-04-2020,US,1176,25771,59930,68,1710,15302,2,173,6033
16-04-2020,US,1261,27032,59500,124,1834,15830,3,176,5940
17-04-2020,US,1289,28321,58904,218,2052,15493,11,187,6098
18-04-2020,US,1459,29780,57798,44,2096,15388,18,205,5733
19-04-2020,US,734,30514,56491,49,2145,15005,9,214,5603
20-04-2020,US,887,31401,56720,48,2193,15099,0,214,5569
